name;rating;convenience;security;functionality;comment 
Улей 45;3.4;3;5;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Башня 84;2.5;3;2;3;Это здание не имеет особых архитектурных особенностей.
Страусятник 41;2.3;5;1;5;Это здание не имеет особых архитектурных особенностей.
Переправа 20;4.0;2;5;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Силок 86;0.1;1;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Борть 75;1.1;1;4;3;У этого здания отличная архитектура.
Тенета 71;3.7;3;4;5;Это здание имеет стандартную конструкцию.
Сеть 42;3.9;2;5;4;Это здание прекрасно вписывается в окружающий ландшафт.
Пирс 41;1.8;4;5;1;Это здание не имеет особых архитектурных особенностей.
Переправа 60;4.2;1;3;5;Это здание построено из стандартных строительных материалов.
Волчатник 37;3.2;2;5;1;Это здание не имеет особых архитектурных особенностей.
Овчарня 14;4.4;2;2;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Тенета 71;2.9;2;3;1;Это здание представляет собой типичный образец современной архитектуры.
Бункер 56;1.5;1;1;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Курятник 15;3.7;2;5;2;Это здание не имеет особых архитектурных особенностей.
Коровник 36;1.8;4;2;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Развязка 68;2.5;4;2;2;Это здание представляет собой типичный образец современной архитектуры.
Гусятник 85;0.1;2;3;1;Это здание построено из стандартных строительных материалов.
Котельная 42;0.4;2;1;1;Это здание является примером функционального дизайна.
Усадьба 66;5.0;4;1;4;Это здание имеет стандартную конструкцию.
Водопровод 44;3.2;2;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Библиотека 12;1.7;5;5;5;Это здание имеет стандартную конструкцию.
Канализация 48;1.2;3;4;4;Это здание имеет стандартную конструкцию.
Дворец 6;4.1;4;4;2;Это здание имеет стандартную конструкцию.
Аэропорт 97;3.7;1;2;4;Это здание не имеет особых архитектурных особенностей.
Канализация 78;2.4;1;5;5;Мне нравится дизайн этого здания.
Улей 45;1.4;3;5;5;Это здание построено из стандартных строительных материалов.
Кафе 7;4.1;3;2;3;Это здание не имеет особых архитектурных особенностей.
Стадион 6;0.6;4;2;1;У этого здания отличная архитектура.
Музей 56;1.0;1;3;1;Это здание имеет стандартную конструкцию.
Коровник 36;2.8;5;1;5;Мне нравится дизайн этого здания.
Овчарня 14;2.9;1;4;3;Это здание не имеет особых архитектурных особенностей.
Котельная 42;2.8;2;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Канализация 78;2.0;5;3;1;Это здание построено из стандартных строительных материалов.
Псарня 68;2.5;3;1;2;Это здание построено из стандартных строительных материалов.
Псарня 68;1.3;5;1;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Канализация 78;4.6;3;4;5;Это великолепное здание!
Шале 42;3.8;2;3;1;Это здание является примером функционального дизайна.
Жилой дом 21;1.1;1;4;1;Это здание построено из стандартных строительных материалов.
Канализация 78;4.3;1;3;4;Это здание представляет собой типичный образец современной архитектуры.
Лосятник 100;1.6;1;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Осатаник 76;0.1;4;5;5;Это здание не имеет особых архитектурных особенностей.
Теплотрасса 2;1.6;1;4;3;У этого здания отличная архитектура.
Цирк 90;2.7;4;2;1;Это здание имеет стандартную конструкцию.
Развязка 68;3.2;1;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Парк 39;0.3;4;5;4;Это здание имеет стандартную конструкцию.
Отель 58;1.8;4;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Сеть 42;0.9;3;4;1;Это здание построено из стандартных строительных материалов.
Гусятник 85;1.6;4;1;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Отель 40;4.1;3;2;2;Это здание является примером функционального дизайна.
Переправа 60;1.4;4;3;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Переправа 20;2.5;4;2;4;Это здание представляет собой типичный образец современной архитектуры.
Улей 45;2.1;1;2;3;У этого здания отличная архитектура.
Тенета 71;3.7;2;5;2;Это здание является примером функционального дизайна.
Канализация 48;0.1;1;3;2;Это здание построено из стандартных строительных материалов.
Развязка 68;4.3;4;5;5;Это здание имеет стандартную конструкцию.
Водопровод 44;4.2;3;2;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Отель 40;4.7;1;4;4;Это здание построено из стандартных строительных материалов.
Котельная 42;3.2;5;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Волчатник 37;1.7;2;3;2;Это здание представляет собой типичный образец современной архитектуры.
Фабрика 31;3.9;4;3;1;Это здание представляет собой типичный образец современной архитектуры.
Водопровод 44;4.1;1;3;2;Это здание построено из стандартных строительных материалов.
Водопровод 77;0.2;3;3;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Осатаник 76;1.1;5;3;3;Это здание представляет собой типичный образец современной архитектуры.
Отель 58;0.3;2;1;5;Это здание является примером функционального дизайна.
Супермаркет 71;1.5;2;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Супермаркет 71;4.9;5;1;1;Это здание не имеет особых архитектурных особенностей.
Канализация 48;3.9;4;2;4;Это здание очень функционально.
Отель 91;0.5;1;3;3;Это здание очень функционально.
Усадьба 66;3.3;4;5;1;Это здание представляет собой типичный образец современной архитектуры.
Усадьба 7;3.7;2;4;5;Мне нравится дизайн этого здания.
Магазин 6;5.0;2;3;3;Это здание не имеет особых архитектурных особенностей.
Институт 92;3.1;3;2;3;Это здание представляет собой типичный образец современной архитектуры.
Канализация 48;4.6;2;1;5;Это здание построено из стандартных строительных материалов.
Цирк 90;0.8;3;5;3;Это здание не имеет особых архитектурных особенностей.
Автомойка 77;4.1;3;1;2;Это здание является примером функционального дизайна.
Муравейник 61;1.2;4;3;2;Это здание представляет собой типичный образец современной архитектуры.
Убежище 5;4.4;1;4;2;Это здание построено из стандартных строительных материалов.
Отель 91;1.5;4;3;4;Это здание не имеет особых архитектурных особенностей.
Сеть 67;2.1;2;4;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Страусятник 26;1.4;2;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Отель 40;4.1;4;5;2;Это великолепное здание!
Теплотрасса 2;3.1;3;4;2;Это здание не имеет особых архитектурных особенностей.
Улей 45;4.3;2;1;3;Это великолепное здание!
Страусятник 41;2.3;1;1;3;Это здание построено из стандартных строительных материалов.
Супермаркет 71;2.6;4;4;3;Это здание не имеет особых архитектурных особенностей.
Котельная 38;1.8;4;5;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Отель 91;3.9;3;3;1;Это здание представляет собой типичный образец современной архитектуры.
Музей 56;2.4;2;3;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Бункер 50;3.8;4;1;5;Это здание является примером функционального дизайна.
Овчарня 14;4.2;2;2;4;У этого здания отличная архитектура.
Институт 33;4.6;5;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Аэропорт 97;2.4;5;1;2;Это здание имеет стандартную конструкцию.
Переправа 20;2.1;3;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Верблюжатник 38;4.3;4;4;1;Это здание не имеет особых архитектурных особенностей.
Переправа 20;4.4;4;4;5;Это здание не имеет особых архитектурных особенностей.
Шале 42;3.9;1;2;4;Это великолепное здание!
Бункер 50;2.8;4;1;3;Это здание построено из стандартных строительных материалов.
Институт 33;1.7;3;5;5;Это здание является примером функционального дизайна.
Верфь 83;1.7;5;1;1;Это великолепное здание!
Дворец 6;0.6;5;4;5;Это здание не имеет особых архитектурных особенностей.
Коровник 36;1.9;4;4;2;Это здание имеет стандартную конструкцию.
Волчатник 37;2.9;5;2;1;У этого здания отличная архитектура.
Йодль 64;1.3;4;3;1;Это великолепное здание!
Библиотека 12;3.9;2;1;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Водопровод 77;1.5;1;3;1;Мне нравится дизайн этого здания.
Канализация 48;1.0;1;1;4;Это здание представляет собой типичный образец современной архитектуры.
Бункер 56;3.2;5;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Улей 45;3.9;1;5;3;Это здание не имеет особых архитектурных особенностей.
Газопровод 65;4.1;5;1;2;Это здание представляет собой типичный образец современной архитектуры.
Теплотрасса 2;1.2;1;4;5;У этого здания отличная архитектура.
Фабрика 31;0.4;3;4;2;Это здание является примером функционального дизайна.
Кафе 7;3.8;1;5;5;Это здание имеет стандартную конструкцию.
Волчатник 37;4.5;4;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Усадьба 7;3.2;5;2;2;Это здание является примером функционального дизайна.
Виадук 17;3.5;4;4;4;Это здание имеет стандартную конструкцию.
Тенета 88;0.5;4;5;5;Это здание построено из стандартных строительных материалов.
Борть 75;0.7;2;5;5;Это здание построено из стандартных строительных материалов.
Лосятник 100;3.1;1;1;4;У этого здания отличная архитектура.
Йодль 64;2.6;1;5;2;Это здание имеет стандартную конструкцию.
Ресторан 68;4.8;3;3;5;Это здание имеет стандартную конструкцию.
Супермаркет 19;3.3;4;3;2;Это здание является примером функционального дизайна.
Канализация 78;3.2;2;2;2;Это великолепное здание!
Овчарня 14;0.6;2;4;2;Мне нравится дизайн этого здания.
Башня 84;4.6;3;2;1;Это здание не имеет особых архитектурных особенностей.
Гусятник 85;5.0;3;2;4;Это здание представляет собой типичный образец современной архитектуры.
Эскалатор 57;1.1;3;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Виадук 17;2.6;1;3;1;Это здание представляет собой типичный образец современной архитектуры.
Виадук 17;4.1;3;4;5;Это здание представляет собой типичный образец современной архитектуры.
Пирс 41;1.7;4;3;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Отель 58;2.9;4;5;1;Это здание представляет собой типичный образец современной архитектуры.
Волчатник 37;1.3;5;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Убежище 5;2.2;3;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Кафе 7;3.4;1;1;5;Это здание является примером функционального дизайна.
Гусятник 85;1.4;5;5;3;Это здание прекрасно вписывается в окружающий ландшафт.
Йодль 64;0.3;4;5;2;Мне нравится дизайн этого здания.
Муравейник 61;4.0;1;3;3;Это великолепное здание!
Канализация 78;2.3;4;5;3;Это здание построено из стандартных строительных материалов.
Стадион 6;1.7;4;1;4;Это здание имеет стандартную конструкцию.
Верфь 4;4.1;4;4;5;Это здание построено из стандартных строительных материалов.
Развязка 68;2.3;3;4;2;Это здание очень функционально.
Сеть 67;1.5;2;3;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Шале 42;2.4;4;2;5;У этого здания отличная архитектура.
Магазин 6;4.0;5;5;3;Это здание не имеет особых архитектурных особенностей.
Силок 86;3.3;4;5;4;Мне нравится дизайн этого здания.
Борть 75;1.2;3;4;5;Мне нравится дизайн этого здания.
Страусятник 41;4.5;4;4;5;Это здание представляет собой типичный образец современной архитектуры.
Котельная 42;2.7;5;2;1;Это здание очень функционально.
Убежище 5;3.6;4;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Водопровод 44;1.7;4;1;1;Это здание имеет стандартную конструкцию.
Стадион 6;0.2;2;2;2;Это здание является примером функционального дизайна.
Фабрика 31;1.5;4;4;4;Это здание имеет стандартную конструкцию.
Псарня 68;4.7;2;3;2;Это великолепное здание!
Волчатник 37;1.1;1;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Переправа 20;1.8;1;3;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Отель 91;3.0;5;4;3;Это здание очень функционально.
Гусятник 85;4.6;2;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Переправа 60;2.8;3;3;5;Это здание построено из стандартных строительных материалов.
Овчарня 14;1.7;1;5;4;Это здание построено из стандартных строительных материалов.
Ресторан 83;0.5;4;3;5;Это здание представляет собой типичный образец современной архитектуры.
Башня 84;3.1;1;3;2;Это здание не имеет особых архитектурных особенностей.
Усадьба 7;0.5;2;5;1;Это здание построено из стандартных строительных материалов.
Страусятник 41;2.8;4;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Башня 84;2.2;5;5;4;Это здание очень функционально.
Канализация 48;3.3;1;1;4;Мне нравится дизайн этого здания.
Курятник 15;1.1;1;3;3;Это великолепное здание!
Музей 45;1.3;1;3;4;Это здание не имеет особых архитектурных особенностей.
Гусятник 85;1.8;2;4;4;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 68;1.5;1;5;5;Это здание представляет собой типичный образец современной архитектуры.
Усадьба 66;2.8;2;1;5;Это здание имеет стандартную конструкцию.
Пандус 84;1.3;3;2;5;Это здание прекрасно вписывается в окружающий ландшафт.
Отель 40;1.4;2;4;2;У этого здания отличная архитектура.
Магазин 6;2.3;4;5;1;Это здание представляет собой типичный образец современной архитектуры.
Котельная 38;1.5;2;3;5;Это здание является примером функционального дизайна.
Бункер 50;3.7;4;5;4;Это здание имеет стандартную конструкцию.
Водопровод 77;2.0;4;2;4;У этого здания отличная архитектура.
Переправа 20;3.3;1;2;1;Это здание является примером функционального дизайна.
Лосятник 100;2.9;3;2;3;Мне нравится дизайн этого здания.
Шале 5;1.2;1;2;5;Это здание не имеет особых архитектурных особенностей.
Отель 40;1.8;5;1;1;Это здание прекрасно вписывается в окружающий ландшафт.
Котельная 38;0.2;3;5;3;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 68;1.0;1;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Котельная 42;0.4;5;3;5;Это здание прекрасно вписывается в окружающий ландшафт.
Пирс 41;4.8;4;4;5;Это здание построено из стандартных строительных материалов.
Магазин 6;4.4;2;5;4;Это здание имеет стандартную конструкцию.
Музей 56;0.7;2;5;3;Это здание является примером функционального дизайна.
Жилой дом 21;0.6;2;2;1;Это здание имеет стандартную конструкцию.
Башня 84;3.5;2;4;2;Это здание является примером функционального дизайна.
Дупло 49;2.8;2;2;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Эскалатор 57;3.2;2;1;2;Это здание построено из стандартных строительных материалов.
Убежище 5;0.4;2;2;1;Это здание представляет собой типичный образец современной архитектуры.
Лосятник 100;3.4;1;2;3;Это здание построено из стандартных строительных материалов.
Музей 56;1.6;2;1;5;Это здание построено из стандартных строительных материалов.
Шале 5;2.1;1;5;5;Это здание представляет собой типичный образец современной архитектуры.
Эскалатор 57;1.4;4;4;4;Это здание имеет стандартную конструкцию.
Дворец 6;2.8;1;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Осатаник 76;2.0;3;5;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Йодль 64;1.0;5;2;3;Это здание прекрасно вписывается в окружающий ландшафт.
Убежище 5;3.2;5;3;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Теплотрасса 2;2.3;3;4;1;Это здание прекрасно вписывается в окружающий ландшафт.
Котельная 38;0.7;3;2;5;Это здание является примером функционального дизайна.
Коровник 63;3.6;1;2;3;Это здание имеет стандартную конструкцию.
Котельная 38;1.1;5;5;2;У этого здания отличная архитектура.
Библиотека 12;4.4;1;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Цирк 90;1.5;3;1;1;Это здание является примером функционального дизайна.
Музей 45;3.7;1;3;2;Это здание не имеет особых архитектурных особенностей.
Лосятник 100;0.8;4;2;1;Это здание имеет стандартную конструкцию.
Тенета 71;2.2;2;2;2;Это здание не имеет особых архитектурных особенностей.
Убежище 44;2.6;1;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Автомойка 77;1.4;2;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Бункер 56;3.8;2;5;4;Это здание имеет стандартную конструкцию.
Бункер 50;4.2;1;4;4;Это здание не имеет особых архитектурных особенностей.
Газопровод 65;3.3;3;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Переправа 20;0.7;4;1;4;Это здание не имеет особых архитектурных особенностей.
Пирс 41;1.9;3;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Ресторан 68;2.3;2;5;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Канализация 48;3.1;2;2;4;Это здание является примером функционального дизайна.
Кошара 15;2.5;2;4;5;Это великолепное здание!
Супермаркет 19;1.7;2;3;1;Мне нравится дизайн этого здания.
Тенета 71;3.3;2;5;4;Это здание представляет собой типичный образец современной архитектуры.
Супермаркет 71;3.3;1;5;2;Это здание является примером функционального дизайна.
Жилой дом 21;2.6;5;1;2;Это здание построено из стандартных строительных материалов.
Канализация 78;4.8;5;1;3;Это здание представляет собой типичный образец современной архитектуры.
Фабрика 31;1.1;5;1;3;Это здание имеет стандартную конструкцию.
Пандус 84;4.2;3;1;5;Это здание представляет собой типичный образец современной архитектуры.
Курятник 15;2.9;2;3;2;Мне нравится дизайн этого здания.
Дворец 6;0.5;2;1;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Котельная 38;3.2;4;4;4;Это великолепное здание!
Муравейник 61;4.0;1;1;2;Это здание является примером функционального дизайна.
Переправа 60;0.1;2;5;3;Это здание построено из стандартных строительных материалов.
Теплотрасса 2;0.3;5;1;2;Это здание не имеет особых архитектурных особенностей.
Цирк 90;2.7;4;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Йодль 64;3.0;1;1;2;Это здание представляет собой типичный образец современной архитектуры.
Тенета 88;1.3;2;5;1;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 68;3.4;1;1;4;Это здание представляет собой типичный образец современной архитектуры.
Убежище 5;1.9;5;1;1;Мне нравится дизайн этого здания.
Усадьба 7;0.4;2;2;4;Это здание представляет собой типичный образец современной архитектуры.
Осатаник 76;0.5;4;3;1;Это здание не имеет особых архитектурных особенностей.
Канализация 48;2.7;5;2;4;Это здание является примером функционального дизайна.
Институт 92;0.3;4;5;5;Мне нравится дизайн этого здания.
Переправа 20;0.1;5;1;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Фабрика 31;4.1;1;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Дворец 6;2.4;3;5;5;Это здание представляет собой типичный образец современной архитектуры.
Йодль 64;2.1;3;2;5;Это здание имеет стандартную конструкцию.
Страусятник 41;0.3;3;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Бункер 50;3.4;4;2;2;Это здание очень функционально.
Виадук 17;0.5;5;2;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Борть 75;3.9;5;5;1;Это здание не имеет особых архитектурных особенностей.
Ресторан 68;2.0;3;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Улей 45;1.9;5;3;4;Это здание не имеет особых архитектурных особенностей.
Стадион 6;3.6;3;5;4;Это здание имеет стандартную конструкцию.
Дупло 86;3.0;3;2;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Дупло 86;2.3;4;3;5;Это здание является примером функционального дизайна.
Ресторан 68;2.0;1;4;2;Это здание прекрасно вписывается в окружающий ландшафт.
Подвал 17;2.2;1;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Институт 33;1.8;3;1;1;Это здание является примером функционального дизайна.
Дупло 49;0.8;1;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Осатаник 76;0.8;5;2;3;Это здание построено из стандартных строительных материалов.
Библиотека 12;3.8;5;1;2;Это здание является примером функционального дизайна.
Котельная 38;0.1;5;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Убежище 5;4.2;5;5;4;Это здание не имеет особых архитектурных особенностей.
Башня 84;2.7;1;4;4;Мне нравится дизайн этого здания.
Отель 91;0.3;5;4;1;Это здание представляет собой типичный образец современной архитектуры.
Овчарня 14;3.0;4;4;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Бункер 50;4.1;1;3;4;Это здание является примером функционального дизайна.
Муравейник 61;2.0;4;1;4;Это великолепное здание!
Автомойка 77;2.3;1;2;1;Это здание имеет стандартную конструкцию.
Силок 86;4.4;4;3;1;Это здание представляет собой типичный образец современной архитектуры.
Отель 91;3.1;4;4;2;Это здание является примером функционального дизайна.
Отель 58;2.8;2;5;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Теплотрасса 2;4.3;5;5;1;Это здание прекрасно вписывается в окружающий ландшафт.
Башня 84;3.5;5;1;4;Это здание построено из стандартных строительных материалов.
Отель 91;2.0;4;2;2;У этого здания отличная архитектура.
Супермаркет 71;1.6;4;5;5;Это здание не имеет особых архитектурных особенностей.
Канализация 78;3.2;5;2;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Котельная 42;4.9;3;3;2;У этого здания отличная архитектура.
Стадион 6;1.4;5;2;2;Это здание имеет стандартную конструкцию.
Переправа 60;2.3;3;5;1;Это здание прекрасно вписывается в окружающий ландшафт.
Улей 45;3.7;1;3;3;Это здание прекрасно вписывается в окружающий ландшафт.
Башня 84;3.7;4;5;1;Это здание представляет собой типичный образец современной архитектуры.
Пандус 84;1.2;1;5;5;У этого здания отличная архитектура.
Подвал 17;4.4;3;4;2;Это здание является примером функционального дизайна.
Музей 45;3.6;1;3;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Убежище 44;3.0;2;5;5;Это здание не имеет особых архитектурных особенностей.
Борть 75;0.2;3;2;5;Это здание очень функционально.
Отель 91;3.5;4;2;5;Это здание очень функционально.
Убежище 5;4.6;1;5;2;Это здание представляет собой типичный образец современной архитектуры.
Канализация 48;2.7;4;2;2;Мне нравится дизайн этого здания.
Верфь 4;4.7;5;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Супермаркет 71;1.0;5;2;5;У этого здания отличная архитектура.
Ресторан 68;3.0;4;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Супермаркет 71;4.8;3;1;3;Это здание имеет стандартную конструкцию.
Газопровод 65;0.9;4;5;4;Это здание построено из стандартных строительных материалов.
Кафе 64;4.0;1;4;5;Это здание имеет стандартную конструкцию.
Жилой дом 21;2.7;2;4;3;Это здание очень функционально.
Коровник 36;1.2;4;1;2;Это здание является примером функционального дизайна.
Развязка 68;4.4;3;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Институт 92;2.1;5;1;1;Это здание не имеет особых архитектурных особенностей.
Музей 45;0.7;4;5;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Отель 91;2.8;1;5;3;Это здание является примером функционального дизайна.
Автомойка 77;1.0;3;2;2;Это здание прекрасно вписывается в окружающий ландшафт.
Подвал 17;3.6;4;3;5;Это здание очень функционально.
Сеть 67;4.5;3;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Страусятник 41;0.6;5;3;2;Это здание представляет собой типичный образец современной архитектуры.
Йодль 64;1.4;3;5;5;Это здание не имеет особых архитектурных особенностей.
Страусятник 26;2.0;1;2;3;Это здание очень функционально.
Коровник 36;3.9;4;5;3;Это здание прекрасно вписывается в окружающий ландшафт.
Тенета 71;2.2;4;1;3;Это здание очень функционально.
Развязка 68;1.3;2;1;2;Это здание очень функционально.
Башня 84;2.0;1;2;4;Это здание представляет собой типичный образец современной архитектуры.
Супермаркет 19;3.3;4;3;2;Это здание построено из стандартных строительных материалов.
Верфь 4;4.3;2;2;2;Это здание не имеет особых архитектурных особенностей.
Институт 33;0.9;5;2;3;Это здание очень функционально.
Страусятник 41;3.1;3;4;3;Мне нравится дизайн этого здания.
Овчарня 14;4.5;1;2;3;Это здание является примером функционального дизайна.
Верфь 4;3.6;2;3;2;Это здание является примером функционального дизайна.
